GEO (Labels),comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12
Luxembourg,-1.0052423765791614,0.28280552532011866,0.30169350367950515,-1.5048866772551266,2.5364340628180617,-0.7552634618802169,0.7029369190561745,-1.285726203296824,0.9829019074600406,-0.3463365179388068,0.03194346801705327,0.4998283432209776
Hungary,2.4642822571243506,-1.0416554015877517,1.3834475703602125,0.46914306273581285,0.47601762634164857,-0.5301845536345029,-1.2845469069002389,0.054295163349916215,-0.17134842397056968,0.18960410179660833,-0.1820908708007721,0.2922068503168435
Malta,0.32459470398419,-0.4911867578618099,-1.394359398053828,-0.4059604687784755,-1.0770952350681553,0.8890258595059579,-0.5713166208094588,2.1287717859002737,0.5302575138640918,0.6016607982067759,-0.524868635546662,0.6113887305282245
Netherlands,-1.5648993924700778,-1.5800040040957946,0.4094168587986818,-0.9234275780614424,-0.8584728827199264,-1.5540910759172843,-0.15380184334671415,1.1668269100771391,-0.5656497745572469,-0.7304985327382846,0.898301678838328,0.09489428250310578
Austria,-0.5275364123804556,-2.0156321068121676,-0.007238456609393924,-0.11084838176726872,-1.4209729409784757,-0.529029147011772,-1.2457449030666412,-1.6817270109863292,-1.067163597704426,0.2782109970061222,0.19757777646873603,-0.04324807747802142
Poland,1.3625493876175787,-1.138283050282814,1.243579149695212,-0.6019260791774323,0.5505715631147727,0.9355462958006181,-0.11212347859550818,-0.6033657703382029,-0.0014105580078721937,0.05154865431120415,0.1262930738537039,-0.11313081690513047
Portugal,-3.0240340488203605,-3.4717988016892187,-1.6167379756618379,2.0501332798199683,1.7369682925498922,-0.39054947800916984,1.1381283179552915,0.25803218193942956,-1.5728255833736509,-0.7440758088072068,-0.1424343428738522,0.145594773041612
Romania,2.598372674990075,-0.19487652062313976,-1.8148405680050408,-1.4859217050400946,0.4016077241345708,1.3166551097426455,0.20587689341573423,-0.09836139469197196,0.8086003953831823,-0.4912387245949023,0.6369400778377655,0.4896816052676413
Slovenia,0.05926808362875328,-0.6348353345161165,1.1469409182331805,-0.6126414812349212,-0.16066604372401164,-0.6470141189962629,-0.7984045050861486,0.3263417806310115,0.6394311242590289,-0.24307472700956778,-0.5119441880910047,-0.2635781340212259
Slovakia,1.6994037624036993,-1.2564839928675777,1.0156775618929967,-0.3849954050267315,0.604881171495392,-0.13090579587036802,-0.937382943068054,0.48059298392412636,0.285955907009235,-0.2494154911212295,0.7171719186343476,-0.4641262685346448
Finland,-1.8526680299824723,-0.7566865171475051,2.336752737601692,0.054516198593477685,-0.33250770009613456,0.2782042147262443,0.12704669004728228,0.5030443310598867,0.5738135091263956,-0.3572395758415101,-0.6929661296992982,0.44159102326601396
